Title,release_year,IMDb
Speech & Debate,2017,5.9
Spivak,2017,5.5
Stephanie,2017,5.8
Take the 10,2017,4.8
Terrifier,2017,5.6
The Bittersweet,2017,5.3
The Bye Bye Man,2017,4.2
The Clapper,2017,5.1
The Devil and Father Amorth,2017,4.6
The Doll 2,2017,5.4
The Heretics,2017,4.7
The Humanity Bureau,2017,4.8
The Killer,2017,6
The Little Hours,2017,5.8
The Lodgers,2017,5.1
The Lovers,2017,6
The Mansion,2017,4.6
The Maus,2017,5
The Outcasts,2017,5.5
The Price of Success,2017,5.8
The Super,2017,5.9
The Trap,2017,4.3
The Tribes of Palos Verdes,2017,5.8
The Vault,2017,4.8
The Wedding Party 2: Destination Dubai,2017,4.4
The Wishing Tree,2017,5.9
Thi Mai,2017,5.9
Truth or Dare,2017,5
Walking Out,2017,5.8
War Machine,2017,6
Woody Woodpecker,2017,4.1
XX,2017,4.5
You Can Tutu,2017,4.1
You Get Me,2017,4.6
14 Cameras,2018,4.5
5 Star Christmas,2018,4.5
6 Balloons,2018,5.8
A Champion Heart,2018,5.3
A Christmas Prince: The Royal Wedding,2018,5.2
Adel Karam: Live from Beirut,2018,5.2
Adhugo,2018,6
Adventures in Public School,2018,5.8
After Porn Ends 3,2018,5.3
Aiyaary,2018,5.3
Alejandro Riaño: Especial de stand up,2018,4.9
Aliens Ate My Homework,2018,4.6
All About Nina,2018,6
All Light Will End,2018,4
All the Devil's Men,2018,5.1
An Interview with God,2018,5.7
Animas,2018,4.8
Arango y Sanint: Ríase el show,2018,4
At First Light,2018,5.5
Await Further Instructions,2018,4.8
Azali,2018,5.8
Battle,2018,6
Battle Drone,2018,5.2
Being Napoleon,2018,5.5
Between Worlds,2018,4.4
Big Kill,2018,5.3
Birthmarked,2018,5.7
Boi,2018,4.8
Bombairiya,2018,4.4
Bucket List,2018,5.9
Budapest,2018,5.3
Buffalo Boys,2018,5.8
BuyBust,2018,5.8
Cam,2018,5.9
Candy Jar,2018,5.8
Catching Feelings,2018,5.6
Change in the Air,2018,5.4
Chief Daddy,2018,4.9
Come Sunday,2018,5.9
Counterfeiting in Suburbia,2018,4.5
Curtiz,2018,6
Darc,2018,5.8
Deliha 2,2018,4.6
Delirium,2018,5.7
Driven to Dance,2018,4.1
Dry Martina,2018,5.9
Duck Butter,2018,5.3
Duck Duck Goose,2018,5.7
Dude,2018,5.1
Edge of Fear,2018,4.4
