Title,type,country,date_added,release_year,rating,description,IMDb,Genre
A Sort of Family,Movie,Argentina,2018-04-01,2017,TV-14,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,6.4,Drama
A Sort of Homecoming,Movie,United States,2017-08-01,2015,TV-PG,Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.,5.8,Drama
A Stoning in Fulham County,Movie,United States,2011-10-01,1988,TV-14,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",5.7,Drama
A StoryBots Christmas,Movie,United States,2017-12-01,2017,TV-Y,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",5.9,Comedy
A Sun,Movie,Taiwan,2020-01-24,2019,TV-MA,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,7.7,Drama
A Taiwanese Tale of Two Cities,TV Show,Taiwan,2019-01-27,2018,TV-MA,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",6.3,Drama
A Tale of Love and Darkness,Movie,Israel,2019-10-25,2015,PG-13,"Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",6.0,Drama
A Tale of Two Kitchens,Movie,United States,2019-05-22,2019,TV-PG,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",6.4,Documentaries
A Very Murray Christmas,Movie,United States,2015-12-04,2015,TV-14,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",5.5,Comedy
A Very Secret Service,TV Show,France,2018-07-30,2018,TV-MA,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",7.8,Comedy
A Week in Watts,Movie,United States,2018-02-19,2017,TV-14,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.",6.3,Documentaries
A Witches' Ball,Movie,Canada,2018-10-01,2017,PG,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast.",5.1,Children
A Yellow Bird,Movie,Singapore,2017-05-01,2016,TV-MA,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",5.5,Drama
Aadu 2,Movie,India,2018-05-15,2017,TV-MA,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.",7.1,Comedy
Aagey Se Right,Movie,India,2018-11-01,2009,TV-14,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",5.1,Comedy
Aakhri Adaalat,Movie,India,2017-09-01,1988,TV-14,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,5.3,Action & Adventure
Aalorukkam,Movie,India,2018-11-15,2018,TV-PG,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",6.9,Drama
Aamir,Movie,India,2018-11-01,2008,TV-14,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",7.7,Thrillers
Aarakshan,Movie,India,2019-12-31,2011,TV-14,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,6.2,Drama
Aashayein,Movie,India,2017-10-22,2010,TV-14,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die.",7.1,Drama
ABCD 2,Movie,India,2018-11-01,2015,TV-14,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",5.4,Drama
Abducted in Plain Sight,Movie,United States,2019-01-15,2017,TV-14,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",6.8,Documentaries
"Abdullah, The Final Witness",Movie,Pakistan,2019-01-15,2016,TV-14,"Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case.",7.0,Drama
Abominable Christmas,Movie,United States,2016-02-18,2012,TV-Y7,Two small abominable snowmen flee their mountain to escape a scientist who's trying to capture them and end up spending Christmas with a human family.,5.4,Comedy
About Time,Movie,United Kingdom,2019-04-16,2013,R,"When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",7.8,Comedy
